country	city	At birth	0–14 years	15–24 years	25–54 years	55–64 years	Over 65	Total
Guinea	Conakry	1.03	1.02	1.01	1.00	0.94	0.81	1.00
Guinea-Bissau	Bissau	1.03	1.00	0.96	0.90	0.96	0.74	0.95
Guyana	Georgetown	1.05	1.04	1.04	1.10	0.88	0.68	1.02
Haiti	Port-au-Prince	1.01	0.99	1.00	0.98	0.92	0.78	0.98
Honduras	Tegucigalpa	1.03	1.02	1.00	0.90	0.83	0.80	0.95
Hungary	Budapest	1.06	1.06	1.07	1.02	0.87	0.62	0.91
Iceland	Reykjavík	1.05	1.04	1.02	1.03	0.98	0.89	1.00
India	Mumbai	1.11	1.13	1.14	1.07	1.00	0.89	1.08
Indonesia	Jakarta	1.05	1.04	1.04	1.05	0.85	0.77	1.00
Iran	Tehran	1.05	1.05	1.05	1.04	0.96	0.87	1.03
Iraq	Baghdad	1.05	1.04	1.03	1.00	0.96	0.80	1.01
Ireland	Dublin	1.06	1.05	1.02	1.01	1.00	0.86	1.00
Isle of Man(UK)	Douglas	1.08	1.09	1.15	1.00	1.01	0.90	1.00
Israel	Jerusalem	1.05	1.05	1.04	1.04	0.99	0.82	1.01
Italy	Rome	1.06	1.05	1.01	0.97	0.94	0.76	0.93
Italy	Rome	1.06	1.05	1.01	0.97	0.94	0.76	0.93
Jamaica	Kingston	1.05	1.04	1.02	0.94	0.98	0.90	0.98
Japan	Tokyo	1.06	1.06	1.11	0.98	1.00	0.78	0.94
Jersey(UK)	Saint Helier	1.06	1.07	1.06	1.02	0.95	0.74	0.97
Jordan	Amman	1.06	1.06	1.11	1.18	1.11	0.96	1.11
Kazakhstan	Almaty	0.94	0.96	1.04	0.97	0.78	0.54	0.91
Kenya	Nairobi	1.02	1.01	1.00	1.00	0.96	0.84	1.00
Kiribati	Betio	1.05	1.04	0.97	0.93	0.82	0.64	0.94
Korea, North	Pyongyang	1.06	1.04	1.01	1.01	0.91	0.53	0.95
Korea, South	Seoul	1.05	1.06	1.10	1.08	0.96	0.76	1.01
Kosovo	Pristina	1.08	1.08	1.09	1.12	1.05	0.74	1.06
Kuwait	Kuwait City	1.05	1.09	1.21	1.69	1.26	0.79	1.38
Kyrgyzstan	Bishkek	1.07	1.05	1.03	0.97	0.78	0.62	0.96
Laos	Vientiane	1.04	1.02	0.99	0.98	0.94	0.83	0.99
Latvia	Riga	1.05	1.06	1.07	1.00	0.82	0.50	0.86
Lebanon	Beirut	1.05	1.05	1.04	1.03	0.91	0.75	1.00
Lesotho	Maseru	1.03	1.01	0.92	0.95	1.15	1.07	0.98
Liberia	Monrovia	1.03	1.02	1.00	0.97	1.03	0.96	1.00
Libya	Tripoli	1.05	1.04	1.04	1.09	0.97	0.86	1.05
Liechtenstein	Schaan	1.26	1.21	1.03	1.00	0.93	0.85	0.99
Lithuania	Vilnius	1.06	1.05	1.07	0.99	0.80	0.52	0.86
Luxembourg	Luxembourg	1.06	1.06	1.05	1.05	1.05	0.82	1.02
Luxembourg	Luxembourg	1.06	1.06	1.05	1.05	1.05	0.82	1.02
Madagascar	Antananarivo	1.03	1.02	1.01	1.00	0.97	0.83	1.00
Malawi	Lilongwe	1.02	0.99	0.98	0.99	0.93	0.78	0.98
Malaysia	Kuala Lumpur	1.07	1.06	1.03	1.02	1.03	0.90	1.03
Maldives	Malé	1.05	1.04	1.27	1.19	0.92	0.81	1.13
Mali	Bamako	1.03	1.01	0.91	0.85	1.04	0.99	0.95
Malta	Valletta	1.04	1.07	1.07	1.08	1.01	0.85	1.01
Marshall Islands	Ebeye	1.05	1.04	1.04	1.04	0.97	0.97	1.03
Mauritania	Nouakchott	1.03	1.01	0.96	0.87	0.83	0.73	0.93
Mauritius	Port Louis	1.05	1.04	1.03	1.00	0.91	0.71	0.96
Mexico	Mexico City	1.05	1.05	1.03	0.94	0.84	0.80	0.96
Moldova	Chişinău	1.06	1.06	1.08	1.04	0.86	0.66	0.96
